,country,year,contamination_ml,population_ml,PBI_ml,forest_ml,wage_ml,life_expect_ml
38,Austria,2000,728.242,64151451.61199999,354382.5334,111092.38799999999,37691.74273620733,78.2
39,Austria,2001,708.173,64473763.053,355822.3385,111473.66399999999,37813.21029837896,78.7
40,Austria,2002,683.222,64859954.648,361535.2107,111854.94,38471.2137208406,78.8
41,Austria,2003,691.091,65208700.437999986,364938.9596,112236.216,38732.66041688083,78.7
42,Austria,2004,680.747,65639265.02600001,374920.4789,112617.492,39636.8814385583,79.3
43,Austria,2005,616.616,66077740.183999985,383333.9393,112998.768,40096.829452450875,79.4
44,Austria,2006,608.234,66450854.74999999,396574.4539,105043.23584615384,40903.7378206684,80.0
45,Austria,2007,577.364,66727596.96899999,411356.4308,97087.7036923077,41374.1894488853,80.3
46,Austria,2008,555.5740000000001,67019120.89099999,430310.2271,89132.17153846154,42351.61442379496,80.5
47,Austria,2009,536.446,67260578.949,414110.8622,81176.63938461538,43094.7142592111,80.4
48,Austria,2010,551.322,67525138.616,409030.7075,73221.10723076924,43113.1157646226,80.7
49,Austria,2011,522.927,67871603.95099999,431120.3101,65265.57507692308,43039.47360109163,81.1
50,Austria,2012,523.556,68260686.114,434053.8492,57310.04292307692,43563.5400831255,81.0
51,Austria,2013,564.124,68747264.224,430068.713,49354.51076923077,43887.286223728435,81.2
52,Austria,2014,520.08,69355654.18799998,441996.1317,41398.97861538462,44315.848946652965,81.6
53,Austria,2015,537.5980000000001,70111568.03699999,446480.1895,33443.446461538464,44783.70014768307,81.3
54,Austria,2016,533.332,71043044.018,452642.7859,25487.914307692306,45442.13539033226,81.7
55,Austria,2017,527.241,71548825.704,474514.7146,17532.382153846163,45631.0341405992,81.7
56,Belgium,1990,1386.3039999999999,79534819.69000003,336545.6965,9576.85,33126.721506670634,76.1
57,Belgium,1991,1340.2620000000002,79764181.34200001,342220.966,8541.48,34795.6788979322,76.3
58,Belgium,1992,1312.1270000000002,80025205.083,348380.3978,7506.110000000001,36059.96489231633,76.5
59,Belgium,1993,1224.26,80307192.833,345200.9513,6470.74,37029.882544891865,76.5
60,Belgium,1994,1123.972,80552994.60199998,353648.2208,5435.37,37945.7484417748,76.8
61,Belgium,1995,1107.683,80729262.46700002,361036.8114,4400.0,37954.57110575513,77.0
62,Belgium,1996,1078.277,80913080.38699998,366502.5387,5269.3308,38418.1479192416,77.3
63,Belgium,1997,983.977,81153192.321,376893.3473,6138.6616,39097.74137260124,77.5
64,Belgium,1998,940.2360000000001,81373048.28299999,386153.7886,7007.9924,39143.663009838434,77.6
65,Belgium,1999,864.56,81607492.285,397394.4018,7877.323200000001,41296.321656338434,77.7
66,Belgium,2000,925.5989999999999,81853664.351,412164.2686,8746.654,41344.466499638234,77.8
67,Belgium,2001,877.6210000000001,82187032.367,416696.4935,8933.0892,41791.976805417034,78.1
68,Belgium,2002,863.1110000000001,82614476.294,423809.0408,9119.5244,42662.4242090647,78.2
69,Belgium,2003,837.382,83025636.23299998,428207.9796,9305.9596,43016.327867252636,78.2
70,Belgium,2004,798.857,83452792.21299997,443500.1126,9492.3948,43096.921629676304,79.0
71,Belgium,2005,752.186,83989660.045,453797.0205,9678.83,43130.618126377136,79.1
72,Belgium,2006,697.352,84640927.58700001,465379.5258,9779.581,43669.34654755629,79.5
73,Belgium,2007,652.335,85366479.09300002,482491.1505,9880.332,43810.21851676063,79.9
74,Belgium,2008,653.068,86117384.95400003,515242.61,9981.082999999999,44334.327748017,79.8
75,Belgium,2009,426.566,86861261.113,504830.9696,10081.833999999999,44661.447963537474,80.1
76,Belgium,2010,496.185,87697009.316,495103.2259,10182.585,44632.59223405787,80.3
77,Belgium,2011,393.63199999999995,88506149.75000003,523162.927,9693.2425,45317.57015513526,80.7
78,Belgium,2012,343.25699999999995,89115786.35399999,526509.0712,9203.900000000001,45896.201149226974,80.5
79,Belgium,2013,518.376,89598920.85000002,521642.7144,34764.41666666667,46611.142294795,80.7
80,Belgium,2014,318.81,90070937.29099998,534678.0758,60324.933333333334,46944.34271806683,81.4
81,Belgium,2015,371.31800000000004,90576959.59899999,545546.9528,85885.45000000001,46686.417958616534,81.1
82,Belgium,2016,359.29900000000004,91059479.80899999,542270.4343,111445.96666666667,46783.84306887506,81.5
83,Belgium,2017,291.693,91512046.06200002,571270.0271,137006.48333333334,46854.8013014473,81.6
84,Canada,1990,12380.47,217511328.30000007,1122794.505,162567.0,37592.67845663116,77.2
85,Canada,1991,12163.55,220247615.745,1099372.0519,160880.0,37867.54850883583,77.5
86,Canada,1992,11992.0,222879759.565,1109269.254,170131.0,38637.51530943033,77.7
87,Canada,1993,12320.8,225438153.21900004,1138785.3179,175999.0,38815.84608281073,77.8
88,Canada,1994,12341.5,228078542.81800008,1189967.6393,183261.0,38758.72651722416,77.9
89,Canada,1995,12150.79,230637718.36099994,1222025.0851,188497.0,39023.70102214476,77.9
90,Canada,1996,11771.6,233291897.99699998,1241811.7788,183375.0,39589.74220193647,78.1
91,Canada,1997,11390.72,236002389.551,1294961.8207,188750.0,41254.67176435283,78.3
92,Canada,1998,11371.52,238362065.21800005,1345415.4995,176957.0,42254.02773187973,78.5
93,Canada,1999,11123.77,240741816.79199997,1414878.1392,199574.0,42998.56655832733,78.7
94,Canada,2000,10850.05,243426798.306,1488135.3747,202372.0,44512.04847121523,79.0
95,Canada,2001,10008.69,246535311.78199998,1514772.5937,187300.0,44612.4625052369,79.2
96,Canada,2002,9819.604,248744009.60300004,1560489.1962,198231.0,44405.60580735576,79.4
97,Canada,2003,9500.119,251446965.038,1588601.6915,184273.0,44645.67561182077,79.6
98,Canada,2004,8945.681,254281228.502,1637641.521,210871.0,46072.02654413193,79.8
99,Canada,2005,7963.996999999999,257204873.89999998,1690114.8377,205665.0,48313.037675761996,80.0
100,Canada,2006,7462.758000000001,261421173.27000007,1734637.5973,185359.0,50076.16359954747,80.3
101,Canada,2007,7296.66,264441836.951,1771395.1459,165921.0,51574.05547710756,80.4
102,Canada,2008,7102.399,267725202.76699993,1821688.2989,141397.0,52820.15460398043,80.6
103,Canada,2009,6741.941,271175122.68600005,1770701.3677,118935.0,53436.21120574704,80.8
104,Canada,2010,6725.29,274598294.69199985,1862602.6341,144274.0,53909.36576891677,81.1
105,Canada,2011,6923.382,277644878.9610001,1925665.7483,150483.0,55131.9389267739,81.3
106,Canada,2012,7426.188,280849599.5490001,1965051.6807,153185.0,56662.665118669334,81.5
107,Canada,2013,7400.078,284014976.11599994,2007536.8349,155531.0,58026.87965038463,81.7
108,Canada,2014,7432.798000000001,287044700.5750001,2042347.1741,155136.0,59054.2856182378,81.8
109,Canada,2015,7441.422,289318193.035,2040370.0,160164.0,59584.44833748567,81.9
110,Canada,2016,7455.478,292571533.66699994,2071988.0,156744.0,58338.568940584264,82.0
111,Canada,2017,7499.258000000001,295990806.44799995,2188411.0,229242.16700000002,59145.9382720956,82.0
112,Chile,2005,4387.499,125801698.23900001,109556172.7261,301740.33400000003,5561042.349618112,77.6
113,Chile,2006,4515.045999999999,127424889.14,116477029.3633,307494.57700000005,5511843.433454781,78.0
114,Chile,2007,4495.765,129071510.05499999,122190605.6197,313248.82,5616554.708579111,77.5
115,Chile,2008,4668.876,130766053.07399999,126503360.3607,319003.06299999997,5911433.319206469,78.1
116,Chile,2009,4717.744000000001,132467878.23000003,124524544.9006,324757.306,6389211.791600041,78.2
117,Chile,2010,4910.6759999999995,134152467.48300001,131801980.0985,330584.078,6730469.985052567,78.0
118,Chile,2011,4935.643,135886216.75499997,141061038.3057,336410.85,6889730.190883406,78.7
119,Chile,2012,4831.531,137608911.96100003,151230332.1352,342237.622,7204233.89573425,78.7
120,Chile,2013,4780.09,139167715.011,156680508.7802,243110.577,7491330.432283041,79.5
121,Chile,2014,3538.502,140774547.85299996,155960384.3854,245953.535,7748059.738020661,79.7
122,Chile,2015,2155.001,142415580.79500002,159903692.511,245170.538,7940281.115561333,79.9
123,Chile,2016,2419.215,144133105.776,169469507.0,163643.15866666666,8339325.796804927,80.2
124,Chile,2017,2460.212,146296310.728,180211289.722,82115.77933333334,8176887.9145816825,80.05000000000001
125,Costa Rica,2015,10.55,37824791.945999995,29535657.2773,588.4,7167770.918412655,79.9
126,Costa Rica,2017,22.86,38841839.68100001,33014818.768000003,446.53,6158653.922243627,80.2
127,Czech Republic,1990,2070.889,81618614.89799999,5220360674961800.0,67337.782,5149536.926074598,71.6
128,Czech Republic,1991,1958.515,81331016.96799998,1.82346153832389e+16,43001.622,4140419.9299055706,72.0
129,Czech Republic,1992,1928.375,81519488.905,1.17456104402292e+16,41337.56,3131302.9337365422,72.5
130,Czech Republic,1993,1711.269,81761374.771,8282663732662950.0,42865.582,2122185.9375675144,72.9
131,Czech Republic,1994,1639.513,81969756.40999998,2959589436202800.0,46227.671,1113068.9413984865,73.2
132,Czech Republic,1995,1561.711,82084875.704,1505891317612450.0,67087.69099999999,103951.94522945903,73.3
133,Czech Republic,1996,1625.5420000000001,82134546.697,3015832.9928,47842.699,116982.65021860227,74.0
134,Czech Republic,1997,1479.734,82247007.361,2987348.1942,50075.741,122327.02757219884,74.1
135,Czech Republic,1998,1261.969,82382015.548,2936101.4331,51407.76,125736.53931048303,74.7
136,Czech Republic,1999,1123.2730000000001,82480735.20600002,2973665.264,52319.755,131561.47123182783,74.9
137,Czech Republic,2000,1074.6589999999999,82594912.63300003,3098015.6479,53954.729,137851.07209580977,75.1
138,Czech Republic,2001,1058.399,82402774.273,3219064.9125,54139.715,146852.68892282093,75.3
139,Czech Republic,2002,1018.176,82402686.02399997,3334577.8528,54563.722,156635.74814117656,75.4
140,Czech Republic,2003,1033.116,82581501.93399999,3453653.1245,55915.751,168535.34794970587,75.3
141,Czech Republic,2004,1020.585,82777956.05499998,3573697.6375,57130.767,179129.2582996943,75.8
142,Czech Republic,2005,934.4630000000001,83124134.74099998,3748449.2625,57061.758,185375.26450736207,76.1
143,Czech Republic,2006,939.082,83491610.04800001,809952936277950.0,61989.859,194252.54685237538,76.7
144,Czech Republic,2007,938.758,84013807.62799999,1049325582471350.0,63987.893,202618.16649601108,77.0
145,Czech Republic,2008,885.632,84888941.63800003,1207573590049150.0,58963.777,206957.1956805013,77.3
146,Czech Republic,2009,903.316,85344021.965,959110382856300.0,58346.716,207296.64145782343,77.4
147,Czech Republic,2010,926.715,85479430.27799997,1322799337303350.0,60644.788,213055.37113560832,77.7
